Acronym,Organization
SCCM,Society Of Critical Care Medicine
SCCT,Society Of Cardiovascular Computed Tomography
SDBP,Society For Developmental And Behavioral Pediatrics
SFP,Society Of Family Planning
SGO,Society Of Gynecologic Oncology
SHEA,Society For Healthcare Epidemiology Of America
SIDP,Society Of Infectious Diseases Pharmacists
SIO,Society For Integrative Oncology
SIR,Society Of Interventional Radiology
SIS,Surgical Infection Society
SITC,Society For Immunotherapy Of Cancer
SNIS,Society Of NeuroInterventional Surgery
SNMMI,Society Of Nuclear Medicine And Molecular Imaging
SOAP,Society For Obstetric Anesthesia And Perinatology
SPA,Society For Pediatric Anesthesia
SRU,Society Of Radiologists In Ultrasound
SSO,Society Of Surgical Oncology
STR,Society Of Thoracic Radiology
STS,Society Of Thoracic Surgeons
SUFU,Society Of Urodynamics Female Pelvic Medicine & Urogenital Reconstruction
SUO,Society Of Urologic Oncology
SVM,Society For Vascular Medicine
SVS,Society For Vascular Surgery
TOS,The Obesity Society
UHMS,Undersea And Hyperbaric Medical Society
USPSTF,U.S. Preventive Services Task Force
VA-DoD,Veterans Health Administration / Department Of Defense
WFH,World Federation Of Hemophilia
WGO,World Gastroenterology Organisation
WHO,World Health Organization
WMS,Wilderness Medical Society
